"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/24/2026","4/24/2026","4/27/2026","TQQQ","TQQQ 5/22/2026 Put $56.00","STO","1","$1.98","$197.94"
"4/23/2026","4/23/2026","4/24/2026","SOFI","SOFI 5/1/2026 Call $20.00","STO","3","$0.40","$119.86"
"4/23/2026","4/23/2026","4/24/2026","NVDA","NVDA 5/1/2026 Call $205.00","STO","1","$2.45","$244.94"
"4/23/2026","4/23/2026","4/24/2026","HOOD","HOOD 5/8/2026 Call $95.00","STO","1","$1.95","$194.94"
"4/21/2026","4/21/2026","4/22/2026","HOOD","HOOD 5/1/2026 Call $96.00","STO","1","$2.15","$214.94"
"4/16/2026","4/16/2026","4/17/2026","HOOD","HOOD 5/15/2026 Call $85.00","BTC","2","$7.40","($1,480.08)"
"4/15/2026","4/15/2026","4/16/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","BTC","1","$0.74","($74.04)"
"4/15/2026","4/15/2026","4/16/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","BTC","1","$0.74","($74.04)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","7","$83.82","($586.74)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","84","$83.83","($7,041.72)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","9","$83.50","($751.50)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","100","$83.40","($8,340.00)"
"4/14/2026","4/14/2026","4/15/2026","PLTR","PLTR 5/15/2026 Put $125.00","STO","1","$5.10","$509.93"
"4/14/2026","4/14/2026","4/15/2026","HOOD","HOOD 5/15/2026 Call $90.00","STO","1","$2.30","$229.94"
"4/14/2026","4/14/2026","4/15/2026","HOOD","HOOD 5/15/2026 Call $85.00","STO","2","$3.54","$707.89"
"4/14/2026","4/14/2026","4/15/2026","SOFI","SOFI 5/15/2026 Put $17.00","STO","3","$0.93","$278.86"
"4/14/2026","4/14/2026","4/15/2026","SOFI","SOFI 5/15/2026 Call $16.00","BTC","3","$2.67","($801.12)"
"4/14/2026","4/14/2026","4/15/2026","TQQQ","TQQQ 4/17/2026 Put $47.00","BTC","1","$0.12","($12.04)"
"4/14/2026","4/14/2026","4/15/2026","TQQQ","TQQQ 4/17/2026 Put $47.00","BTC","1","$0.12","($12.04)"
"4/13/2026","4/13/2026","4/14/2026","SOFI","SOFI 5/15/2026 Call $16.00","STO","3","$1.69","$506.85"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $40.00","BTC","1","$0.75","($75.04)"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $38.00","BTC","2","$0.55","($110.08)"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","STO","2","$2.12","$423.90"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/24/2026 Put $38.00","BTC","1","$0.37","($37.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/24/2026 Put $33.00","BTC","3","$0.13","($39.12)"
"4/7/2026","4/7/2026","4/8/2026","TQQQ","TQQQ 4/24/2026 Put $38.00","STO","1","$1.23","$122.94"
"4/7/2026","4/7/2026","4/8/2026","TQQQ","TQQQ 4/24/2026 Put $30.00","BTC","3","$0.30","($90.12)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","BTC","1","$0.18","($18.04)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","BTC","2","$0.18","($36.08)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $40.00","STO","1","$1.80","$179.94"
"4/6/2026","4/6/2026","4/7/2026","HOOD","HOOD 5/1/2026 Call $85.00","BTC","4","$0.95","($380.16)"
"4/6/2026","4/6/2026","4/7/2026","","ACH Withdrawal","ACH","","","($40,000.00)"
"4/2/2026","4/2/2026","4/6/2026","TQQQ","TQQQ 5/1/2026 Put $38.00","STO","2","$1.85","$369.91"
"4/1/2026","4/1/2026","4/1/2026","NVDA","Cash Div: R/D 2026-03-11 P/D 2026-04-01 - 200 shares at 0.01","CDIV","","","$2.00"
"4/1/2026","4/1/2026","4/1/2026","","Gold Deposit Boost Payment","GDBP","","","$17.76"
"3/31/2026","3/31/2026","3/31/2026","","Brokerage-held Cash Interest Payment","INT","","","$27.94"
"3/31/2026","3/31/2026","3/31/2026","","Options Cash Collateral Interest Payment","INT","","","$89.68"
"3/31/2026","3/31/2026","3/31/2026","","Interest Payment","INT","","","$26.56"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $48.00","STO","2","$0.94","$187.91"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 5/8/2026 Call $85.00","STO","1","$1.10","$109.95"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 4/10/2026 Call $85.00","BTC","1","$0.04","($4.04)"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 5/8/2026 Call $85.00","STO","2","$1.10","$219.91"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 4/10/2026 Call $85.00","BTC","2","$0.04","($8.08)"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $45.00","BTC","2","$1.45","($290.08)"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $45.00","STO","2","$1.35","$269.91"
"3/31/2026","3/31/2026","4/1/2026","SOFI","SOFI 4/10/2026 Call $20.00","BTC","5","$0.02","($10.20)"
"3/31/2026","3/31/2026","4/1/2026","PLTR","PLTR 4/17/2026 Call $160.00","BTC","1","$0.89","($89.04)"
"3/30/2026","3/30/2026","3/30/2026","","Interest Payment","INT","","","$231.60"
"3/30/2026","3/30/2026","3/31/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","STO","3","$0.69","$206.87"
"3/27/2026","3/27/2026","3/30/2026","TQQQ","TQQQ 3/27/2026 Put $45.00","OASGN","1","",""
"3/27/2026","3/27/2026","3/30/2026","TQQQ","ProShares UltraPro QQQ
CUSIP: 74347X831
1 TQQQ Option Assigned","Buy","100","$45.00","($4,500.00)"
"3/27/2026","3/27/2026","3/30/2026","TQQQ","TQQQ 4/24/2026 Put $30.00","STO","3","$0.97","$290.87"
"3/26/2026","3/26/2026","3/27/2026","TQQQ","TQQQ 4/24/2026 Put $33.00","STO","3","$1.12","$335.87"
"3/25/2026","3/25/2026","3/26/2026","TQQQ","TQQQ 3/27/2026 Put $52.00","OASGN","1","",""
"3/25/2026","3/25/2026","3/26/2026","TQQQ","ProShares UltraPro QQQ
CUSIP: 74347X831
1 TQQQ Option Assigned","Buy","100","$52.00","($5,200.00)"
"3/23/2026","3/23/2026","3/24/2026","HOOD","HOOD 5/1/2026 Call $85.00","STO","2","$2.10","$419.91"
"3/23/2026","3/23/2026","3/24/2026","HOOD","HOOD 5/1/2026 Call $85.00","STO","1","$2.08","$207.95"
"3/23/2026","3/23/2026","3/24/2026","HOOD","HOOD 5/1/2026 Call $85.00","STO","1","$2.08","$207.95"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 3/27/2026 Put $46.00","BTC","1","$1.70","($170.04)"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 4/17/2026 Put $38.00","BTC","2","$1.15","($230.08)"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 4/10/2026 Put $35.00","BTC","3","$0.50","($150.12)"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 3/27/2026 Put $44.00","BTC","1","$0.90","($90.04)"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 4/10/2026 Put $41.00","BTC","3","$1.35","($405.12)"
"3/23/2026","3/23/2026","3/24/2026","TQQQ","TQQQ 4/2/2026 Put $40.00","BTC","3","$0.66","($198.12)"
"3/23/2026","3/23/2026","3/24/2026","","ACH Deposit","ACH","","","$10,000.00"
"3/23/2026","3/23/2026","3/24/2026","","ACH Withdrawal","ACH","","","($10,000.00)"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 3/20/2026 Put $47.00","BTC","2","$4.66","($932.08)"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 4/17/2026 Put $47.00","STO","2","$6.21","$1,241.91"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 4/10/2026 Put $35.00","STO","3","$1.01","$302.87"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 3/20/2026 Put $46.00","BTC","1","$2.90","($290.04)"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 3/27/2026 Put $46.00","STO","1","$3.70","$369.95"
"3/20/2026","3/20/2026","3/23/2026","SOFI","SOFI 3/20/2026 Put $17.00","BTC","5","$0.22","($110.20)"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 3/20/2026 Put $45.00","BTC","1","$2.03","($203.04)"
"3/20/2026","3/20/2026","3/23/2026","TQQQ","TQQQ 3/27/2026 Put $45.00","STO","1","$3.13","$312.95"
"3/20/2026","3/20/2026","3/23/2026","SOFI","SOFI 5/1/2026 Put $19.00","STO","2","$2.74","$547.91"
"3/20/2026","3/20/2026","3/23/2026","SOFI","SOFI 3/20/2026 Put $19.00","BTC","2","$2.07","($414.08)"
"3/20/2026","3/20/2026","3/23/2026","SOFI","SOFI 5/1/2026 Put $19.00","STO","2","$2.74","$547.91"
"3/20/2026","3/20/2026","3/23/2026","SOFI","SOFI 3/20/2026 Put $19.00","BTC","2","$2.07","($414.08)"
"3/20/2026","3/20/2026","3/23/2026","PLTR","PLTR 4/17/2026 Call $160.00","STO","1","$4.90","$489.95"
"3/19/2026","3/19/2026","3/20/2026","SOFI","SOFI 3/20/2026 Put $19.00","OASGN","1","",""
"3/19/2026","3/19/2026","3/20/2026","SOFI","SoFi Technologies
CUSIP: 83406F102
1 SOFI Option Assigned","Buy","100","$19.00","($1,900.00)"
"3/19/2026","3/19/2026","3/20/2026","TQQQ","TQQQ 4/17/2026 Put $38.00","STO","2","$1.40","$279.91"
"3/18/2026","3/18/2026","3/19/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","STO","3","$1.37","$410.87"
"3/18/2026","3/18/2026","3/19/2026","SOFI","SoFi Technologies
CUSIP: 83406F102","Buy","100","$17.80","($1,779.50)"
"3/17/2026","3/17/2026","3/18/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Sell","34","$307.44","$10,452.79"
"3/17/2026","3/17/2026","3/18/2026","MSFT","Microsoft
CUSIP: 594918104","Sell","50","$400.24","$20,012.01"
"3/16/2026","3/16/2026","3/16/2026","GOOGL","Cash Div: R/D 2026-03-09 P/D 2026-03-16 - 34 shares at 0.21","CDIV","","","$7.14"
"3/13/2026","3/13/2026","3/16/2026","SOFI","SOFI 3/13/2026 Put $20.00","OASGN","5","",""
"3/13/2026","3/13/2026","3/16/2026","SOFI","SoFi Technologies
CUSIP: 83406F102
5 SOFI Options Assigned","Buy","500","$20.00","($10,000.00)"
"3/13/2026","3/13/2026","3/16/2026","HOOD","HOOD 4/10/2026 Call $85.00","STO","2","$1.85","$369.91"
"3/13/2026","3/13/2026","3/16/2026","HOOD","HOOD 4/10/2026 Call $85.00","STO","1","$1.85","$184.95"
"3/13/2026","3/13/2026","3/16/2026","SOFI","SOFI 4/10/2026 Call $20.00","STO","5","$0.51","$254.78"
"3/13/2026","3/13/2026","3/16/2026","TQQQ","TQQQ 3/20/2026 Put $45.00","STO","1","$1.51","$150.95"
"3/13/2026","3/13/2026","3/16/2026","TQQQ","TQQQ 3/13/2026 Put $45.00","BTC","1","$0.08","($8.04)"
"3/13/2026","3/13/2026","3/16/2026","SOFI","SOFI 3/20/2026 Put $19.00","STO","5","$1.31","$654.78"
"3/13/2026","3/13/2026","3/16/2026","SOFI","SOFI 3/13/2026 Put $19.00","BTC","5","$1.08","($540.20)"
"3/12/2026","3/12/2026","3/13/2026","NVDA","NVDA 3/13/2026 Put $170.00","BTC","1","$0.03","($3.04)"
"3/12/2026","3/12/2026","3/13/2026","TQQQ","TQQQ 4/10/2026 Put $41.00","STO","1","$1.90","$189.95"
"3/12/2026","3/12/2026","3/13/2026","TQQQ","TQQQ 4/10/2026 Put $41.00","STO","2","$1.90","$379.91"
"3/6/2026","3/6/2026","3/9/2026","AMZN","AMZN 6/17/2027 Call $180.00","STC","1","$60.00","$5,999.95"
"3/6/2026","3/6/2026","3/9/2026","ETHU","2x Ether ETF
CUSIP: 92864M798","Sell","100","$20.75","$2,074.98"
"3/6/2026","3/6/2026","3/9/2026","SOFI","SOFI 3/6/2026 Put $20.00","BTC","5","$0.94","($470.20)"
"3/6/2026","3/6/2026","3/9/2026","SOFI","SOFI 3/13/2026 Put $20.00","STO","5","$1.34","$669.78"
"3/6/2026","3/6/2026","3/9/2026","PLTR","PLTR 3/13/2026 Put $130.00","BTC","1","$0.29","($29.04)"
"3/6/2026","3/6/2026","3/9/2026","TQQQ","TQQQ 4/2/2026 Put $40.00","STO","3","$1.50","$449.87"
"3/6/2026","3/6/2026","3/9/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","34","$300.00","($10,200.00)"
"3/5/2026","3/5/2026","3/6/2026","TQQQ","TQQQ 3/13/2026 Put $45.00","STO","1","$0.74","$73.95"
"3/5/2026","3/5/2026","3/6/2026","TQQQ","TQQQ 3/6/2026 Put $45.00","BTC","1","$0.11","($11.04)"
"3/4/2026","3/4/2026","3/5/2026","TQQQ","TQQQ 4/2/2026 Put $40.00","BTC","2","$1.03","($206.08)"
"3/4/2026","3/4/2026","3/5/2026","BMNR","BMNR 3/6/2026 Put $20.00","BTC","3","$0.24","($72.12)"
"3/4/2026","3/4/2026","3/5/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","100","$183.32","($18,331.50)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 4/2/2026 Put $40.00","STO","1","$2.20","$219.95"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/13/2026 Put $40.00","BTC","3","$1.13","($339.12)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/6/2026 Put $46.00","BTC","1","$1.83","($183.04)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/20/2026 Put $46.00","STO","1","$3.41","$340.95"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/6/2026 Put $47.00","BTC","2","$2.31","($462.08)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/20/2026 Put $47.00","STO","2","$3.81","$761.91"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/6/2026 Put $40.00","BTC","1","$0.34","($34.04)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 3/6/2026 Put $40.00","BTC","1","$0.34","($34.04)"
"3/3/2026","3/3/2026","3/4/2026","TQQQ","TQQQ 4/2/2026 Put $40.00","STO","1","$2.00","$199.95"
"3/2/2026","3/2/2026","3/3/2026","PLTR","PLTR 3/6/2026 Put $125.00","BTC","1","$0.21","($21.04)"
"3/2/2026","3/2/2026","3/2/2026","","Gold Deposit Boost Payment","GDBP","","","$17.76"
"2/27/2026","2/27/2026","2/27/2026","","Brokerage-held Cash Interest Payment","INT","","","$17.08"
"2/27/2026","2/27/2026","2/27/2026","","Interest Payment","INT","","","$281.54"
"2/27/2026","2/27/2026","3/2/2026","NVDA","NVDA 3/13/2026 Put $170.00","STO","1","$2.97","$296.95"
"2/27/2026","2/27/2026","3/2/2026","TQQQ","TQQQ 2/27/2026 Put $52.00","BTC","1","$2.86","($286.04)"
"2/27/2026","2/27/2026","3/2/2026","TQQQ","TQQQ 3/27/2026 Put $52.00","STO","1","$4.61","$460.95"
"2/27/2026","2/27/2026","3/2/2026","TQQQ","TQQQ 2/27/2026 Put $47.00","BTC","2","$0.02","($4.08)"
"2/27/2026","2/27/2026","3/2/2026","TQQQ","TQQQ 3/6/2026 Put $47.00","STO","2","$0.91","$181.91"
"2/27/2026","2/27/2026","3/2/2026","SOFI","SOFI 6/17/2027 Call $15.00","BTO","5","$6.95","($3,475.20)"
"2/27/2026","2/27/2026","3/2/2026","SOFI","SOFI 3/20/2026 Put $17.00","STO","5","$0.77","$384.78"
"2/26/2026","2/26/2026","2/27/2026","TQQQ","TQQQ 3/27/2026 Put $44.00","STO","1","$1.70","$169.95"
"2/25/2026","2/25/2026","2/26/2026","NVDA","NVIDIA
CUSIP: 67066G104","Buy","100","$200.00","($20,000.00)"
"2/25/2026","2/25/2026","2/26/2026","MSFT","Microsoft
CUSIP: 594918104","Buy","50","$395.89","($19,794.41)"
"2/23/2026","2/23/2026","2/24/2026","GOOGL","GOOGL 3/6/2026 Put $300.00","BTC","1","$2.34","($234.04)"
"2/23/2026","2/23/2026","2/24/2026","AMZN","AMZN 3/2/2026 Put $200.00","BTC","1","$2.38","($238.04)"
"2/20/2026","2/20/2026","2/23/2026","TQQQ","TQQQ 3/6/2026 Put $46.00","STO","1","$1.27","$126.95"
"2/20/2026","2/20/2026","2/23/2026","AMZN","AMZN 6/17/2027 Call $180.00","BTO","1","$57.10","($5,710.04)"
"2/19/2026","2/19/2026","2/19/2026","ETHU","Cash Div: R/D 2026-02-18 P/D 2026-02-19 - 100 shares at 0.021","CDIV","","","$2.10"
"2/19/2026","2/19/2026","2/20/2026","GOOGL","GOOGL 3/6/2026 Put $300.00","STO","1","$6.11","$610.95"
"2/17/2026","2/17/2026","2/18/2026","AMZN","AMZN 3/2/2026 Put $200.00","STO","1","$4.58","$457.95"
"2/12/2026","2/12/2026","2/13/2026","SOFI","SOFI 2/13/2026 Put $25.00","OASGN","3","",""
